Item Name,Global Category,Major Category,Minor Category,Item Quantity,Item/Cover %,Average Item Price,Gross Sales,Net Sales
the fiffer 64oz,,ALCOHOL,64OZ GROWLER FILLS,3,0.17,18.00,54,51
socially acceptable,,ALCOHOL,64OZ GROWLER FILLS,3,0.17,17.00,51,48
identity cri?is 64oz,,ALCOHOL,64OZ GROWLER FILLS,3,0.17,17.00,51,41.5
coffee porter,,ALCOHOL,64OZ GROWLER FILLS,3,0.17,18.00,54,52
wrought gold 4oz,,ALCOHOL,4OZ DRAUGHT,3,0.17,4.00,12,12
identity cri?i?: coconut 4oz,,ALCOHOL,4OZ DRAUGHT,3,0.17,4.00,12,12
brute squad 4oz,,ALCOHOL,4OZ DRAUGHT,3,0.17,4.00,12,12
knotty pretzels: chile lime,,FOOD,FOOD,3,0.17,7.00,21,21
hangover pretzels: brown sugar cinnamon,,FOOD,FOOD,3,0.17,8.00,24,24
womens black v-neck,,RETAIL,CLOTHING,3,0.17,15.00,45,45
do what's in your heart 32oz,,ALCOHOL,32OZ GROWLER FILLS,3,0.17,10.00,30,29
wrought gold 64oz,,ALCOHOL,64OZ GROWLER FILLS,2,0.12,17.00,34,33
we've got time sour 64oz,,ALCOHOL,64OZ GROWLER FILLS,2,0.12,17.00,34,33
stouty mcstoutface,,ALCOHOL,64OZ GROWLER FILLS,2,0.12,17.00,34,34
crispy boi 64oz,,ALCOHOL,64OZ GROWLER FILLS,2,0.12,17.00,34,33
tons of bubbles 4oz,,ALCOHOL,4OZ DRAUGHT,2,0.12,4.00,8,8
it all happened so fast 4oz,,ALCOHOL,4OZ DRAUGHT,2,0.12,4.00,8,8
crispy boi 4oz,,ALCOHOL,4OZ DRAUGHT,2,0.12,4.00,8,8
knotty pretzels: hot wings,,FOOD,FOOD,2,0.12,7.00,14,14
gift card processing fee,,GIFT CARD SALES,GIFT CARDS,2,0.12,5.00,10,10
10oz belgian glass,,RETAIL,MERCHANDISE,2,0.12,7.00,14,14
two ton trucker hat,,RETAIL,CLOTHING,2,0.12,22.00,44,44
retro black hoodie,,RETAIL,CLOTHING,2,0.12,30.00,60,60
stouty mcstoutface,,ALCOHOL,32OZ GROWLER FILLS,2,0.12,10.00,20,19
stouty mcstoutface 10oz,,ALCOHOL,10OZ DRAUGHT,1,0.06,8.00,8,8
i didnt hear no bell ipa 10oz,,ALCOHOL,10OZ DRAUGHT,1,0.06,7.00,7,7
two ton booing pumpkin ale 64oz,,ALCOHOL,64OZ GROWLER FILLS,1,0.06,17.00,17,16
red engine #63 64oz,,ALCOHOL,64OZ GROWLER FILLS,1,0.06,18.00,18,18
kitty paws 64oz,,ALCOHOL,64OZ GROWLER FILLS,1,0.06,18.00,18,18
socially acceptable,,ALCOHOL,4OZ DRAUGHT,1,0.06,4.00,4,4
movie quotes hoppy lager 4oz,,ALCOHOL,4OZ DRAUGHT,1,0.06,4.00,4,4
kitty paws sour ipa 4oz,,ALCOHOL,4OZ DRAUGHT,1,0.06,4.00,4,4
pretzels: naked nuggets,,FOOD,FOOD,1,0.06,5.00,5,5
blood orange blond,,ALCOHOL,32OZ GROWLER FILLS,1,0.06,10.00,10,9
barrel-aged chocolate vanilla porter,,ALCOHOL,32OZ GROWLER FILLS,1,0.06,12.00,12,11
sixtel keg,,ALCOHOL,KEGS,1,0.06,110.00,110,110
